asset_id,hostname,ip_address,os,criticality,business_unit,network_zone,cpe_list,connects_to
asset-web-01,webserver01,10.0.1.10,Ubuntu 22.04,high,Engineering,dmz,"cpe:2.3:a:apache:http_server:2.4.51:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:3.0.7:*:*:*:*:*:*:*,cpe:2.3:o:canonical:ubuntu_linux:22.04:*:*:*:*:*:*:*",asset-app-01
asset-web-02,webserver02,10.0.1.11,Ubuntu 22.04,high,Engineering,dmz,"cpe:2.3:a:apache:http_server:2.4.54:*:*:*:*:*:*:*,cpe:2.3:a:php:php:8.1.12:*:*:*:*:*:*:*,cpe:2.3:o:canonical:ubuntu_linux:22.04:*:*:*:*:*:*:*",asset-app-01
asset-app-01,appserver01,10.0.2.10,Red Hat Enterprise Linux 9,critical,Engineering,internal,"cpe:2.3:a:oracle:java_se:17.0.4:*:*:*:*:*:*:*,cpe:2.3:a:apache:tomcat:10.0.27:*:*:*:*:*:*:*,cpe:2.3:o:redhat:enterprise_linux:9.0:*:*:*:*:*:*:*","asset-db-01,asset-db-02"
asset-app-02,appserver02,10.0.2.11,Red Hat Enterprise Linux 9,critical,Engineering,internal,"cpe:2.3:a:oracle:java_se:17.0.4:*:*:*:*:*:*:*,cpe:2.3:a:apache:log4j:2.17.1:*:*:*:*:*:*:*,cpe:2.3:o:redhat:enterprise_linux:9.0:*:*:*:*:*:*:*","asset-db-01,asset-cache-01"
asset-db-01,dbserver01,10.0.3.10,Red Hat Enterprise Linux 8,critical,Engineering,internal,"cpe:2.3:a:oracle:mysql:8.0.28:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.1.1q:*:*:*:*:*:*:*,cpe:2.3:o:redhat:enterprise_linux:8.0:*:*:*:*:*:*:*",
asset-db-02,dbserver02,10.0.3.11,Ubuntu 20.04,critical,Engineering,internal,"cpe:2.3:a:postgresql:postgresql:14.5:*:*:*:*:*:*:*,cpe:2.3:o:canonical:ubuntu_linux:20.04:*:*:*:*:*:*:*",
asset-cache-01,cacheserver01,10.0.2.20,Ubuntu 22.04,medium,Engineering,internal,"cpe:2.3:a:redis:redis:7.0.5:*:*:*:*:*:*:*,cpe:2.3:o:canonical:ubuntu_linux:22.04:*:*:*:*:*:*:*",
asset-mail-01,mailserver01,10.0.4.10,Windows Server 2019,high,IT Operations,dmz,"cpe:2.3:a:microsoft:exchange_server:2019:*:*:*:*:*:*:*,cpe:2.3:o:microsoft:windows_server_2019:-:*:*:*:*:*:*:*",asset-dc-01
asset-dc-01,domainctrl01,10.0.5.10,Windows Server 2022,critical,IT Operations,internal,"cpe:2.3:o:microsoft:windows_server_2022:-:*:*:*:*:*:*:*",
asset-dc-02,domainctrl02,10.0.5.11,Windows Server 2022,critical,IT Operations,internal,"cpe:2.3:o:microsoft:windows_server_2022:-:*:*:*:*:*:*:*",
